id,accX,accY,accZ,gyroX,gyroY,gyroZ,timestamp
01fc1603-e854-4ea5-b0c0-01b22c75b2da,-0.24,0.16,-0.9,,,,2024-03-22 15:59:42.913
01fe3111-7ef6-4968-9706-1bda2bb7e234,-5.61,4.77,4.98,,,,2024-03-22 16:02:06.610
0205bc7c-b860-47b4-8952-2c67a1b7a3ca,-0.07,-0.6,-0.32,,,,2024-03-22 16:01:48.735
020e7d15-c88f-4ab6-b1ce-4e2c344c3bc6,0.3,0.37,0.83,,,,2024-03-22 16:00:45.868
020f7972-1a53-4b21-ae3b-044bb3bc8f0a,-0.05,-0.04,0.09,,,,2024-03-22 16:05:46.065
020fe3f4-933e-49c8-aa4f-7ff2ac6a8699,0.36,1.31,0.0,,,,2024-03-22 16:05:41.888
0211c8e5-32c8-40a5-aded-0e7d956e3bbe,0.18,0.99,-0.16,,,,2024-03-22 16:00:49.118
02143103-8a5c-473c-bb35-1886d81afc13,1.93,-0.77,0.33,,,,2024-03-22 15:59:58.218
021577b1-81ba-4242-a461-0b2c9a9bf1b5,-0.2,0.29,-0.86,,,,2024-03-22 16:02:55.603
02168364-894e-4a20-827b-65eb2f0810fc,3.46,2.21,1.12,,,,2024-03-22 16:03:41.908
0216956c-35d1-4120-a370-5b2908909d2a,0.1,0.2,-0.11,,,,2024-03-22 16:05:18.757
0216aa1f-8d9c-4616-9a61-4d017d651c2d,0.28,-0.16,0.31,,,,2024-03-22 16:01:31.056
02186516-9e56-439f-9598-6cdc7e9ee386,0.54,0.84,0.02,,,,2024-03-22 16:04:52.608
0218bb63-b2ee-4ae7-ac75-4349e6ab7248,2.6,1.75,-1.55,,,,2024-03-22 16:02:53.944
0219db74-74c0-4999-9830-acf549c55dc7,5.09,-5.82,0.47,,,,2024-03-22 16:04:13.863
021afd3a-a292-49a5-bedb-7873a893db8f,-13.9,15.9,8.4,,,,2024-03-22 16:03:38.891
021b377d-29cd-40c8-81d4-8afb57105e57,-3.15,-3.35,2.21,,,,2024-03-22 16:01:47.846
021f4703-58ef-499f-8a94-4ffaa24e08ac,-0.15,0.98,0.01,,,,2024-03-22 16:00:18.196
02218f5a-312c-4ea0-8d4c-f1ad70e20cc8,0.13,0.29,-0.02,,,,2024-03-22 16:03:03.491
